test 1 : computer 0 | program 0
test 2 : computer 1 | program 1
test 3 : computer 1 | program 1
test 4 : computer 1 | program 1
test 5 : computer 1 | program 1
test 6 : computer 1 | program 1
test 7 : computer 1 | program 1
test 8 : computer 1 | program 1
test 9 : computer 1 | program 1
test 10 : computer 0 | program 0
test 11 : computer 1 | program 1
test 12 : computer 1 | program 1
test 13 : computer 1 | program 1
test 14 : computer 1 | program 1
test 15 : computer 1 | program 1
test 16 : computer 1 | program 0
test 17 : computer 1 | program 1
test 18 : computer 1 | program 1
test 19 : computer 1 | program 1
test 20 : computer 1 | program 1
test 21 : computer 1 | program 1
test 22 : computer 1 | program 1
test 23 : computer 1 | program 1
test 24 : computer 1 | program 1
test 25 : computer 0 | program 0
test 26 : computer 1 | program 1
test 27 : computer 1 | program 1
test 28 : computer 1 | program 1
test 29 : computer 1 | program 1
test 30 : computer 1 | program 1
test 31 : computer 1 | program 0
test 32 : computer 1 | program 1
test 33 : computer 1 | program 1
test 34 : computer 0 | program 1
test 35 : computer 0 | program 1
test 36 : computer 0 | program 1
test 37 : computer 1 | program 1
test 38 : computer 0 | program 0
test 39 : computer 0 | program 0
test 40 : computer 0 | program 0
test 41 : computer 1 | program 1
test 42 : computer 0 | program 0
test 43 : computer 0 | program 0
test 44 : computer 1 | program 1
test 45 : computer 0 | program 0
test 46 : computer 0 | program 0
test 47 : computer 1 | program 1
test 48 : computer 1 | program 0
test 49 : computer 1 | program 1
test 50 : computer 0 | program 0
test 51 : computer 0 | program 0
test 52 : computer 1 | program 1
test 53 : computer 1 | program 1
test 54 : computer 1 | program 0
test 55 : computer 0 | program 0
test 56 : computer 0 | program 0
test 57 : computer 1 | program 1
test 58 : computer 1 | program 1
test 59 : computer 1 | program 1
test 60 : computer 1 | program 1
test 61 : computer 1 | program 1
test 62 : computer 1 | program 1
test 63 : computer 0 | program 0
test 64 : computer 0 | program 0
test 65 : computer 1 | program 1
test 66 : computer 1 | program 0
test 67 : computer 1 | program 1
test 68 : computer 1 | program 1
test 69 : computer 1 | program 1
test 70 : computer 0 | program 0
test 71 : computer 1 | program 1
